Tick PD1 PD2 PD3
1157 061 000 102
1158 048 000 089
1159 036 000 077
1160 026 000 065
1161 018 000 055
1162 012 000 046
1163 008 000 038
1164 007 000 031
1165 009 000 025
1166 012 000 020
1167 017 000 016
1168 023 000 013
1169 030 000 011
1170 039 000 009
1171 048 000 007
1172 059 000 006
1173 070 000 005
1174 083 000 004
1175 095 000 003
1176 108 000 003
1177 121 000 002
1178 135 000 002
1179 148 000 002
1180 161 000 001
1181 173 000 001
1182 183 000 001
1183 193 000 001
1184 195 000 001
1185 195 000 000
1186 195 000 000
1187 195 000 000
1188 195 000 000
1189 195 000 000
1190 195 000 000
1191 195 001 000
1192 195 001 000
1193 195 002 000
1194 195 003 000
1195 195 005 000
1196 195 007 001
1197 194 011 001
1198 182 018 001
1199 168 026 002
1200 155 035 002
1201 143 048 003
1202 133 062 004
1203 126 077 006
1204 120 095 008
1205 117 112 012
1206 116 129 017
1207 115 146 024
1208 114 161 031
1209 114 173 038
1210 114 184 046
1211 115 193 055
1212 116 196 065
1213 119 196 075
1214 123 196 086
1215 129 196 097
1216 137 196 107
1217 146 196 118
1218 155 196 129
1219 166 196 139
1220 175 196 149
1221 184 196 158
1222 192 196 166
1223 196 196 173
1224 196 196 180
1225 196 196 185
1226 196 196 191
1227 196 196 195
1228 196 196 196
1229 196 196 196
1230 196 196 196
1231 196 196 196
1232 196 196 196
1233 196 196 196
1234 196 196 196
1235 196 196 196
1236 196 196 196
1237 196 196 196
1238 196 196 196
1239 190 196 196
1240 180 196 196
1241 169 196 196
1242 157 196 196
1243 145 196 196
1244 135 196 196
1245 127 196 196
1246 120 196 196
1247 116 196 196
1248 113 196 196
1249 112 196 196
1250 111 196 196
1251 111 196 196
1252 111 196 196
1253 112 196 196
1254 113 196 196
1255 116 196 196
1256 123 196 196
1257 132 196 196
1258 144 196 196
1259 156 196 196
1260 170 196 196
1261 183 196 196
1262 194 188 196
1263 196 178 196
1264 196 167 196
1265 196 154 196
1266 196 140 196
1267 196 125 195
1268 196 112 195
1269 196 098 189
1270 196 084 182
1271 196 072 175
1272 196 061 166
1273 196 051 158
1274 196 042 149
1275 196 035 140
1276 196 028 131
1277 196 022 122
1278 189 017 113
1279 181 013 105
1280 173 010 096
1281 165 007 088
1282 157 005 079
1283 149 004 072
1284 142 003 064
1285 135 002 057
1286 130 002 050
1287 125 001 043
1288 122 000 037
1289 119 000 031
1290 117 000 025
1291 116 000 020
1292 116 000 016
1293 115 000 012
1294 115 000 009
1295 116 000 007
1296 116 000 005
1297 117 000 004
1298 120 000 002
1299 126 000 002
1300 135 000 001
1301 148 000 000
1302 161 000 000
1303 173 000 000
1304 182 000 000
1305 184 000 000
1306 180 000 000
1307 173 000 000
1308 162 000 000
1309 151 000 000
1310 140 000 000
1311 129 000 000
1312 118 000 000
1313 106 000 000
1314 092 000 000
1315 078 001 000
1316 063 002 000
1317 049 003 000
1318 035 005 000
1319 024 008 000
1320 016 013 000
1321 010 019 000
1322 005 026 000
1323 003 035 000
1324 001 046 000
1325 001 057 000
1326 000 070 000
1327 000 084 000
