Tick PD1 PD2 PD3
0761 196 197 122
0762 196 197 118
0763 196 197 115
0764 196 197 114
0765 196 197 113
0766 196 197 112
0767 196 197 112
0768 196 197 112
0769 196 197 112
0770 196 197 112
0771 196 197 112
0772 196 197 112
0773 196 197 113
0774 196 197 116
0775 196 197 121
0776 196 197 127
0777 196 197 135
0778 197 197 145
0779 197 197 154
0780 197 197 163
0781 197 197 168
0782 197 197 170
0783 197 197 168
0784 197 197 163
0785 197 197 156
0786 197 197 147
0787 197 197 139
0788 197 197 130
0789 197 197 122
0790 196 197 114
0791 196 197 106
0792 196 197 097
0793 196 197 087
0794 196 197 076
0795 196 197 065
0796 196 197 053
0797 196 197 041
0798 196 197 030
0799 196 197 022
0800 196 197 015
0801 196 197 010
0802 196 197 006
0803 196 197 004
0804 196 197 003
0805 196 197 002
0806 196 197 002
0807 196 197 001
0808 196 197 001
0809 196 197 001
0810 196 197 001
0811 196 197 002
0812 196 197 003
0813 196 197 004
0814 196 197 007
0815 196 197 011
0816 196 197 016
0817 196 197 023
0818 196 197 031
0819 196 197 040
0820 196 197 050
0821 196 197 061
0822 196 197 072
0823 196 197 083
0824 196 197 092
0825 196 197 099
0826 192 197 104
0827 186 197 108
0828 179 197 110
0829 171 197 110
0830 161 197 109
0831 149 197 107
0832 137 197 103
0833 123 197 097
0834 110 197 089
0835 096 197 079
0836 083 197 067
0837 071 197 054
0838 059 197 041
0839 049 196 029
0840 040 197 021
0841 032 197 014
0842 026 196 010
0843 020 196 008
0844 015 196 008
0845 011 196 011
0846 009 196 014
0847 006 196 019
0848 005 196 025
0849 004 196 032
0850 003 196 041
0851 002 196 050
0852 001 196 061
0853 001 196 072
0854 000 193 083
0855 000 188 095
0856 000 183 107
0857 000 176 119
0858 000 169 133
0859 000 160 146
0860 000 150 159
0861 000 138 171
0862 000 126 181
0863 000 113 191
0864 000 100 196
0865 000 086 196
0866 000 072 196
0867 000 058 196
0868 000 045 196
0869 000 032 196
0870 000 022 196
0871 000 014 196
0872 000 007 196
0873 000 003 196
0874 000 001 196
0875 000 000 188
0876 000 000 174
0877 000 000 159
0878 001 000 145
0879 002 000 134
0880 005 000 126
0881 008 000 120
0882 012 000 117
0883 018 000 115
0884 025 000 114
0885 032 000 114
0886 040 000 113
0887 049 000 113
0888 058 000 114
0889 068 000 114
0890 079 000 116
0891 089 000 120
0892 100 000 125
0893 109 000 131
0894 119 000 140
0895 128 000 148
0896 137 000 157
0897 145 000 166
0898 153 000 175
0899 160 000 183
0900 166 000 191
0901 173 000 196
0902 178 000 196
0903 183 000 196
0904 188 000 196
0905 192 000 196
0906 195 000 196
0907 197 000 196
0908 197 000 196
0909 197 000 196
0910 197 001 196
0911 197 001 196
0912 197 002 196
0913 197 003 196
0914 197 005 196
0915 197 007 186
0916 197 011 173
0917 197 018 160
0918 197 027 146
0919 197 037 133
0920 197 051 124
0921 196 066 118
0922 196 084 114
0923 196 101 112
0924 196 119 111
0925 196 137 111
0926 196 154 111
0927 196 168 111
0928 196 180 112
0929 196 190 113
0930 196 197 117
0931 196 197 124
0932 196 197 132
0933 197 197 143
0934 197 197 155
0935 197 197 167
0936 197 197 178
0937 197 197 189
0938 197 197 197
0939 197 197 197
0940 197 197 197
0941 197 197 197
0942 197 197 197
0943 197 197 197
0944 197 197 197
0945 197 197 197
0946 197 197 197
0947 197 197 197
0948 197 197 197
0949 197 197 197
0950 197 197 197
0951 197 197 197
0952 197 197 197
0953 197 197 190
0954 197 197 180
0955 197 197 170
0956 197 197 160
0957 197 197 151
0958 197 197 141
0959 197 197 134
0960 197 197 127
0961 196 197 122
0962 196 197 119
0963 196 197 117
0964 196 197 116
0965 196 197 115
0966 196 197 115
0967 196 197 115
0968 196 197 116
0969 196 197 117
0970 196 197 120
0971 196 197 127
0972 196 197 137
0973 197 197 150
0974 197 197 163
0975 197 197 174
0976 197 193 181
0977 197 182 183
0978 197 169 179
0979 197 153 172
0980 197 136 162
0981 197 117 152
0982 197 099 141
0983 197 081 131
0984 197 065 120
0985 196 051 109
0986 196 038 097
0987 196 028 084
0988 196 020 070
0989 196 014 057
0990 196 009 044
0991 196 006 032
0992 196 004 023
0993 195 003 015
0994 191 002 009
0995 187 001 005
0996 182 001 003
0997 176 000 002
0998 170 000 001
0999 163 000 000
1000 156 000 000
1001 148 000 000
1002 139 000 000
1003 131 000 000
1004 122 000 000
1005 114 000 001
1006 104 000 002
1007 094 000 004
1008 085 000 007
1009 076 000 012
1010 067 000 018
1011 058 000 026
1012 049 000 036
1013 040 000 048
1014 033 000 061
1015 025 000 074
1016 019 000 085
1017 014 000 096
1018 009 000 104
1019 006 000 110
1020 004 000 113
1021 002 000 114
1022 001 000 114
1023 000 000 110
1024 000 000 105
1025 000 000 096
1026 000 000 083
1027 000 000 068
1028 000 001 051
1029 000 003 036
1030 000 005 023
1031 000 009 014
1032 000 016 008
1033 000 025 005
1034 000 035 006
1035 000 048 009
1036 000 064 013
1037 000 080 020
1038 000 098 028
1039 000 115 039
1040 000 132 052
1041 001 148 068
1042 001 161 086
1043 002 173 106
1044 003 183 125
1045 005 191 143
1046 007 196 161
1047 011 196 177
1048 015 197 191
1049 019 196 197
1050 025 196 197
1051 032 197 197
1052 039 197 197
1053 046 196 197
1054 055 196 197
1055 064 197 197
1056 074 197 197
1057 083 197 197
1058 094 197 197
1059 104 197 197
1060 115 197 197
1061 126 197 197
1062 137 197 197
1063 147 197 197
1064 157 197 190
1065 167 197 178
1066 175 197 165
1067 182 197 153
1068 188 197 143
1069 194 197 134
1070 197 197 128
1071 197 197 123
1072 196 197 121
1073 196 197 120
1074 196 197 119
1075 196 197 119
1076 196 197 119
1077 196 197 119
1078 196 197 121
1079 196 197 124
1080 196 197 129
1081 197 197 136
1082 197 197 146
1083 197 197 159
1084 197 197 172
1085 197 197 185
1086 197 197 197
1087 197 197 197
1088 197 197 197
1089 197 197 197
1090 197 197 197
1091 197 197 197
